currency|price
AED|4.144315
AFN|105.592967
ALL|121.526457
AMD|539.140953
ANG|2.03652
AOA|670.472741
ARS|113.351235
AUD|1.555102
AWG|2.0313
AZN|1.894518
BAM|1.9576319999999998
BBD|2.281519
BDT|96.854035
BGN|1.955931
BHD|0.42546399999999995
BIF|2249.73069
BMD|1.128343
BND|1.538061
BOB|7.802712
BRL|6.333281
BSD|1.12999
BTC|1.9674079e-05
BTN|83.902159
BWP|13.177777
BYN|2.788392
BYR|22115.531083
BZD|2.277715
CAD|1.426204
CDF|2263.456397
CHF|1.047148
CLF|0.033879
CLP|934.834052
CNY|7.201085
COP|4416.336156
CRC|723.266783
CUC|1.128343
CUP|29.901101
CVE|110.368529
CZK|25.462153
DJF|201.16622
DKK|7.436776
DOP|63.877239
DZD|156.957121
EGP|17.769489
ERN|16.925502
ETB|53.866141
EUR|1
FJD|2.377534
FKP|0.8411059999999999
GBP|0.840023
GEL|3.526075
GGP|0.8411059999999999
GHS|6.924111
GIP|0.8411059999999999
GMD|59.124209
GNF|10794.603847
GTQ|8.740822
GYD|236.435498
HKD|8.791995
HNL|27.24799
HRK|7.520072
HTG|110.803063
HUF|369.411724
IDR|16084.366238
ILS|3.486739
IMP|0.8411059999999999
INR|83.987682
IQD|1648.653434
IRR|47672.509445
ISK|147.789888
JEP|0.8411059999999999
JMD|175.83815
JOD|0.79995
JPY|128.809996
KES|126.593719
KGS|95.661404
KHR|4596.726707
KMF|488.572599
KPW|1015.509476
KRW|1339.879622
KWD|0.34138
KYD|0.941642
KZT|489.797742
LAK|12108.465444
LBP|1708.727123
LKR|228.257999
LRD|161.353397
LSL|17.647368
LTL|3.331705
LVL|0.682523
LYD|5.190747
MAD|10.410188
MDL|20.000953
MGA|4508.659477
MKD|61.689816
MMK|2002.024262
MNT|3225.052171
MOP|9.069205
MRO|402.818408
MUR|48.974522
MVR|17.432626
MWK|921.546604
MXN|23.575212
MYR|4.72268
MZN|72.022037
NAD|17.647534
NGN|466.567507
NIO|39.809225
NOK|10.052812
NPR|134.237186
NZD|1.611111
OMR|0.43383499999999997
PAB|1.13003
PEN|4.548386
PGK|3.968394
PHP|57.139301
PKR|197.917783
PLN|4.715186
PYG|7734.94432
QAR|4.108299
RON|4.95016
RSD|117.590304
RUB|83.59389
RWF|1169.59529
SAR|4.233222
SBD|9.081307
SCR|14.970979
SDG|494.214084
SEK|10.123667
SGD|1.536657
SHP|1.554177
SLL|12439.986438
SOS|658.952729
SRD|24.255983
STD|23354.430732
SVC|9.887837
SYP|1418.083461
SZL|17.795889
THB|37.077764
TJS|12.76366
TMT|3.949202
TND|3.230165
TOP|2.5520300000000002
TRY|12.619286
TTD|7.669955
TWD|31.354973
TZS|2597.446173
UAH|30.044651
UGX|4039.782038
USD|1.128343
UYU|49.862773
UZS|12137.597609
VEF|241273924929.1376
VND|25585.187108
VUV|125.606749
WST|2.892667
XAF|656.543766
XAG|0.045499
XAU|0.000612
XCD|3.049405
XDR|0.8066209999999999
XOF|656.532119
XPF|118.899156
YER|282.367716
ZAR|17.752509
ZMK|10156.443071
ZMW|19.915923
ZWL|363.326122
